id|name|price|volume
3572921338833089|Cheese - Cheddar, Medium|12.39|2.55
3586729712144070|Cabbage - Nappa|9.60|4.59
4917361584324537|Wine - George Duboeuf Rose|12.73|4.74
5481978815033463|Bouq All Italian - Primerba|19.65|7.70
3541367216576655|Spaghetti Squash|10.04|5.20
3528444905351752|Appetizer - Escargot Puff|10.41|9.54
3537921318931097|Beef - Prime Rib Aaa|12.46|7.78
3537223535210458|Lamb - Leg, Diced|13.00|1.14
3569677890983424|Fish - Base, Bouillion|2.65|4.94
3581710102376097|Beer - Blue|7.09|8.04
6331100626787415|Juice - Lemon|5.27|5.66
633110066201759301|Ice Cream Bar - Rolo Cone|1.22|5.35
5528835602090814|Bread - Granary Small Pull|15.40|6.35
3559639708465111|Tray - 12in Rnd Blk|0.91|4.14
3541379116088384|Wine - Rosso Del Veronese Igt|0.92|6.22
677160269329294922|Cheese - Gorgonzola|0.40|9.76
3566311123449820|Chocolate - Pistoles, White|13.46|6.09
6763311295633916|Lettuce - Boston Bib|18.43|8.32
5582085510544212|Squash - Guords|13.91|1.07
3582065551345286|French Pastries|8.16|7.33
6767471907183267305|Table Cloth 53x53 White|11.27|4.41
5456963796594114|Wine - Vovray Sec Domaine Huet|13.42|3.54
3532498402464199|Juice - Tomato, 10 Oz|14.63|6.68
5602226337366923052|Nantucket Pine Orangebanana|16.79|7.52
3555745257646631|Food Colouring - Orange|6.90|7.62
6373487160734187|Eggplant - Baby|3.82|6.99
3578714348890478|Flour - Strong|14.36|8.31
4913344781869201|Seabream Whole Farmed|6.70|3.17
5602256205563983|Daikon Radish|3.09|6.86
3529643366547696|Bread - White Mini Epi|16.04|5.18
3531113024758719|Capers - Ox Eye Daisy|4.36|6.92
30481786435491|Water - Spring Water 500ml|17.49|6.81
5100139445614989|Chocolate - Feathers|10.49|8.54
3552903411042691|Lemon Tarts|18.88|5.86
201899584567590|Mustard - Seed|19.90|8.20
30369275158809|Banana|16.34|7.19
4175002771175665|Cheese - Parmigiano Reggiano|4.28|1.55
5002359250782163|Limes|1.52|4.56
3541574699853127|Icecream Bar - Del Monte|5.34|7.17
5048375290981264|Blueberries|9.32|5.24
